Name,|V|,|E|,Rand1,Greedy1,SemiGreedy1,Local1_Average,Local1_Iter,Local1AvgLoop,GRASP_Iter,GRASP_Best,KnownBest
G1,800,19176,9567,10956,11023,11347.8,5,114,25,11415,12078
G2,800,19176,9581,11030,11000,11372,5,130,25,11452,12084
G3,800,19176,9631,11012,11009,11378,5,127,25,11374,12077
G11,800,1600,20,434,410,445.6,5,14,25,464,627
G12,800,1600,2,418,388,428,5,15,25,452,621
G13,800,1600,16,432,414,451.6,5,16,25,476,645
G14,800,4694,2346,2890,2849,2955.6,5,48,25,2964,3187
G15,800,4661,2306,2873,2836,2927.2,5,51,25,2944,3169
G16,800,4672,2345,2878,2858,2923.8,5,41,25,2950,3172
G22,2000,19990,10016,12346,12297,12812.2,5,224,25,12862,14123
G23,2000,19990,9909,12291,12351,12839.6,5,226,25,12891,14129
G24,2000,19990,9919,12367,12337,12795.4,5,209,25,12873,14131
G32,2000,4000,44,1058,1034,1102,5,42,25,1136,1560
G33,2000,4000,-52,1000,996,1054,5,47,25,1100,1537
G34,2000,4000,-26,988,938,1068.4,5,47,25,1086,1541
G35,2000,11778,5907,7252,7205,7358.8,5,113,25,7400,8000
G36,2000,11766,5804,7225,7179,7357.2,5,122,25,7385,7996
G37,2000,11785,5903,7264,7199,7369.4,5,112,25,7396,8009
G43,1000,9990,4998,6188,6136,6386,5,111,25,6435,7027
G44,1000,9990,4880,6157,6169,6391.2,5,105,25,6429,7022
G45,1000,9990,4952,6179,6187,6402.6,5,99,25,6480,7020
G48,3000,6000,3072,6000,4956,5081.2,5,84,25,5152,6000
G49,3000,6000,2954,6000,4886,5090.4,5,81,25,5198,6000
G50,3000,6000,3044,5880,4862,5068.8,5,76,25,5166,5988
