Name,|V|,|E|,Rand1,Greedy1,Local1_Best,Local1_Iter,GRASP_Best,GRASP_Iter,KnownBest
G1,800,19176,9567,10956,11254,113,11415,10,12078
G2,800,19176,9544,11030,11450,184,11386,10,12084
G3,800,19176,9627,11012,11370,144,11393,10,12077
G11,800,1600,8,434,472,20,464,10,627
G12,800,1600,2,418,450,17,444,10,621
G13,800,1600,12,432,472,21,480,10,645
G14,800,4694,2365,2890,2956,42,2966,10,3187
G15,800,4661,2292,2873,2950,53,2932,10,3169
G16,800,4672,2314,2878,2944,45,2938,10,3172
G22,2000,19990,9969,12346,12806,228,12854,10,14123
G23,2000,19990,9979,12291,12789,246,12845,10,14129
G24,2000,19990,10012,12367,12774,214,12857,10,14131
G32,2000,4000,74,1058,1144,44,1140,10,1560
G33,2000,4000,-58,1000,1098,50,1104,10,1537
G34,2000,4000,-28,988,1116,65,1086,10,1541
G35,2000,11778,5867,7252,7437,122,7396,10,8000
G36,2000,11766,5883,7225,7402,119,7393,10,7996
G37,2000,11785,5880,7264,7424,110,7412,10,8009
G43,1000,9990,4979,6188,6402,121,6415,10,7027
G44,1000,9990,5018,6157,6373,88,6445,10,7022
G45,1000,9990,4945,6179,6404,115,6429,10,7020
G48,3000,6000,2988,6000,6000,1,5116,10,6000
G49,3000,6000,3012,6000,6000,1,5122,10,6000
G50,3000,6000,3012,5880,5880,1,5124,10,5988
