Name,|V|,|E|,Rand1,Greedy1,SemiGreedy1,Local1_Best,Local1_Iter,GRASP_Iter,GRASP_Best,KnownBest
G1,800,19176,9567,10956,11023,11254,113,25,11415,12078
G2,800,19176,9615,11030,11008,11450,184,25,11452,12084
G3,800,19176,9450,11012,11011,11370,144,25,11417,12077
G11,800,1600,18,434,398,472,20,25,476,627
G12,800,1600,26,418,388,450,17,25,446,621
G13,800,1600,22,432,416,472,21,25,478,645
G14,800,4694,2369,2890,2878,2956,42,25,2972,3187
G15,800,4661,2318,2873,2840,2950,53,25,2938,3169
G16,800,4672,2325,2878,2859,2944,45,25,2955,3172
G22,2000,19990,10009,12346,12345,12806,228,25,12879,14123
G23,2000,19990,9984,12291,12344,12789,246,25,12882,14129
G24,2000,19990,9818,12367,12352,12774,214,25,12887,14131
G32,2000,4000,4,1058,1026,1144,44,25,1124,1560
G33,2000,4000,-20,1000,966,1098,50,25,1110,1537
G34,2000,4000,-6,988,978,1116,65,25,1110,1541
G35,2000,11778,5799,7252,7169,7437,122,25,7389,8000
G36,2000,11766,5854,7225,7216,7402,119,25,7395,7996
G37,2000,11785,5961,7264,7189,7424,110,25,7425,8009
G43,1000,9990,4931,6188,6158,6402,121,25,6436,7027
G44,1000,9990,4911,6157,6138,6373,88,25,6465,7022
G45,1000,9990,4933,6179,6210,6404,115,25,6446,7020
G48,3000,6000,3042,6000,4866,6000,1,25,5132,6000
G49,3000,6000,3060,6000,4966,6000,1,25,5162,6000
G50,3000,6000,2990,5880,4910,5880,1,25,5150,5988
